Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
2016,32,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7
2016,33,0.028571429,0.028571429,0.028571429,0.028571429,NULL,NULL,NULL,NULL,NULL,7
2016,34,0.05,0.05,0.05,0.05,NULL,NULL,NULL,NULL,NULL,7
2016,35,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7
2016,36,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7
2016,1,15.7,5.4,6.2,11.3,NULL,NULL,NULL,NULL,NULL,10
2016,2,1.542857143,0.885714286,1.171428571,1.228571429,NULL,NULL,NULL,NULL,NULL,10
2016,3,1.857142857,1.457142857,1.514285714,1.771428571,NULL,NULL,NULL,NULL,NULL,10
2016,4,13.42857143,10.57142857,12.57142857,13.02857143,NULL,NULL,NULL,NULL,NULL,10
2016,5,7.942857143,5.485714286,6.257142857,6.742857143,NULL,NULL,NULL,NULL,NULL,10
2016,6,5.942857143,3.457142857,3.6,4.771428571,NULL,NULL,NULL,NULL,NULL,10
2016,7,6.771428571,4.714285714,5.6,6.228571429,NULL,NULL,NULL,NULL,NULL,10
2016,8,12.65714286,3.485714286,5.342857143,6.828571429,NULL,NULL,NULL,NULL,NULL,10
2016,9,2.142857143,1.2,1.285714286,1.657142857,NULL,NULL,NULL,NULL,NULL,10
2016,10,0.628571429,0.485714286,0.485714286,0.628571429,NULL,NULL,NULL,NULL,NULL,10
2016,11,3.057142857,1.857142857,2.2,2.314285714,NULL,NULL,NULL,NULL,NULL,10
2016,12,1.857142857,1.057142857,1.171428571,1.857142857,NULL,NULL,NULL,NULL,NULL,10
2016,13,1.771428571,1.657142857,1.771428571,1.771428571,NULL,NULL,NULL,NULL,NULL,10
2016,14,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,15,9.628571429,5.2,5.857142857,9.285714286,NULL,NULL,NULL,NULL,NULL,10
2016,16,9.171428571,6.114285714,8.571428571,9.171428571,NULL,NULL,NULL,NULL,NULL,10
2016,17,2.057142857,1.485714286,1.514285714,2.057142857,NULL,NULL,NULL,NULL,NULL,10
2016,18,10.74285714,7.285714286,10.17142857,10.74285714,NULL,NULL,NULL,NULL,NULL,10
2016,19,2.085714286,1.828571429,2.057142857,2.085714286,NULL,NULL,NULL,NULL,NULL,10
2016,20,8.028571429,3.8,5.285714286,6.685714286,NULL,NULL,NULL,NULL,NULL,10
2016,21,7.914285714,5.685714286,7.285714286,7.685714286,NULL,NULL,NULL,NULL,NULL,10
2016,22,11.08571429,6.985714286,9.142857143,9.914285714,NULL,NULL,NULL,NULL,NULL,10
2016,23,7.585714286,4.128571429,7.128571429,7.442857143,NULL,NULL,NULL,NULL,NULL,10
2016,24,8.2,6.285714286,7.828571429,8.057142857,NULL,NULL,NULL,NULL,NULL,10
2016,25,14.48571429,6.114285714,7.428571429,10.6,NULL,NULL,NULL,NULL,NULL,10
2016,26,9.428571429,5.5,6.571428571,8.071428571,NULL,NULL,NULL,NULL,NULL,10
2016,27,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,28,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,29,11.66666667,11,11.5,11.5,NULL,NULL,NULL,NULL,NULL,10
2016,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
2016,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
2016,32,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,33,1.666666667,1.666666667,1.666666667,1.666666667,NULL,NULL,NULL,NULL,NULL,10
2016,34,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,35,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,36,0,0,0,0,NULL,NULL,NULL,NULL,NULL,10
2016,1,15.5,5.5,8.9,13.6,NULL,NULL,NULL,NULL,NULL,11
