Date,Year,WW,Month,UV_Index,RegionId
6/4/2016,2016,23,6,0,100
6/4/2016,2016,23,6,0,100
6/3/2016,2016,23,6,1,100
6/3/2016,2016,23,6,0,100
6/3/2016,2016,23,6,2,100
6/3/2016,2016,23,6,5,100
6/3/2016,2016,23,6,7,100
6/3/2016,2016,23,6,7,100
6/3/2016,2016,23,6,4,100
6/3/2016,2016,23,6,2,100
6/3/2016,2016,23,6,1,100
6/3/2016,2016,23,6,0,100
6/3/2016,2016,23,6,0,100
6/2/2016,2016,23,6,0,100
6/2/2016,2016,23,6,3,100
6/2/2016,2016,23,6,4,100
6/2/2016,2016,23,6,5,100
6/2/2016,2016,23,6,5,100
6/2/2016,2016,23,6,6,100
6/2/2016,2016,23,6,4,100
6/2/2016,2016,23,6,2,100
6/2/2016,2016,23,6,1,100
6/2/2016,2016,23,6,0,100
6/2/2016,2016,23,6,0,100
6/1/2016,2016,23,6,2,100
6/1/2016,2016,23,6,1,100
6/1/2016,2016,23,6,2,100
6/1/2016,2016,23,6,2,100
6/1/2016,2016,23,6,1,100
6/1/2016,2016,23,6,4,100
6/1/2016,2016,23,6,5,100
6/1/2016,2016,23,6,2,100
6/1/2016,2016,23,6,1,100
6/1/2016,2016,23,6,0,100
6/1/2016,2016,23,6,0,100
6/11/2016,2016,24,6,1,100
6/11/2016,2016,24,6,0,100
6/11/2016,2016,24,6,0,100
6/11/2016,2016,24,6,0,100
6/11/2016,2016,24,6,1,100
6/11/2016,2016,24,6,6,100
6/11/2016,2016,24,6,4,100
6/11/2016,2016,24,6,2,100
6/11/2016,2016,24,6,1,100
6/11/2016,2016,24,6,0,100
6/11/2016,2016,24,6,0,100
6/10/2016,2016,24,6,2,100
6/10/2016,2016,24,6,4,100
6/10/2016,2016,24,6,3,100
6/10/2016,2016,24,6,1,100
6/10/2016,2016,24,6,5,100
6/10/2016,2016,24,6,5,100
6/10/2016,2016,24,6,5,100
6/10/2016,2016,24,6,2,100
6/10/2016,2016,24,6,1,100
6/10/2016,2016,24,6,0,100
6/10/2016,2016,24,6,0,100
6/9/2016,2016,24,6,1,100
6/9/2016,2016,24,6,2,100
6/9/2016,2016,24,6,5,100
6/9/2016,2016,24,6,7,100
6/9/2016,2016,24,6,7,100
6/9/2016,2016,24,6,5,100
6/9/2016,2016,24,6,4,100
6/9/2016,2016,24,6,2,100
6/9/2016,2016,24,6,1,100
6/9/2016,2016,24,6,0,100
6/9/2016,2016,24,6,0,100
6/8/2016,2016,24,6,2,100
6/8/2016,2016,24,6,3,100
6/8/2016,2016,24,6,3,100
6/8/2016,2016,24,6,2,100
6/8/2016,2016,24,6,1,100
6/8/2016,2016,24,6,2,100
6/8/2016,2016,24,6,2,100
6/8/2016,2016,24,6,2,100
6/8/2016,2016,24,6,0,100
6/8/2016,2016,24,6,0,100
6/8/2016,2016,24,6,0,100
6/7/2016,2016,24,6,2,100
