Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
4/8/2016,169,3,0,6,60.875,1.22,1.475,1.475,1.525,29.51666667,34.7,25.98333333,6.9,22.45,89,71,42,4
4/9/2016,175,2,0,7,60.04166667,19.09,10.725,13.1,15.95,27.95,33.45,25.23333333,5.333333333,29.3,94,79,62,4
4/10/2016,175,2,0,5,67,5.82,4,6.5,7.275,29.06666667,34.81666667,25.23333333,7.55,29.45,94,76,43,4
4/11/2016,175,4,-1,9,59.875,0.16,0,0,0,29.58333333,33.36666667,26.96666667,6.733333333,25.73333333,89,75,52,4
4/12/2016,172,4,0,9,69.45833333,4.1,3.95,4.375,4.425,29.6,34.51666667,26.5,8.333333333,31.33333333,89,76,46,4
4/13/2016,186,4,0,9,61.45833333,0.88,1.05,1.075,1.075,29.76,35.03333333,26.53333333,8.583333333,34.91666667,84,74,51,4
4/14/2016,180,4,0,9,64.58333333,2.16,2.025,2.4,2.425,29.58333333,33.68333333,26.83333333,6.816666667,25.36666667,89,77,56,4
4/15/2016,190,3,0,8,58.54166667,2.66,1.4,1.7,1.925,28.68333333,31.98333333,26.01666667,6.1,31.56666667,94,79,59,4
4/16/2016,198,2,0,7,54.58333333,7.69,7,8.325,8.5,29.1,34.76666667,26.25,5.833333333,27.3,89,74,55,4
4/17/2016,198,3,0,7,54.25,3.38,2.275,3.325,3.4,29.53333333,35.1,25.51666667,7.55,36.25,84,75,51,4
4/18/2016,198,3,0,8,55.95833333,0,0,0,0,30,35.21666667,25.95,7.083333333,27.3,94,72,49,4
